"instance","date","disease_state","value","age","race","hcez"
1,2024-09-04,"Exposed",0,"0-17","Hispanic","North/Central"
1,2024-09-05,"Exposed",2.40786132491057,"0-17","Hispanic","North/Central"
1,2024-09-06,"Exposed",3.1829513712062,"0-17","Hispanic","North/Central"
1,2024-09-07,"Exposed",3.48284840273732,"0-17","Hispanic","North/Central"
1,2024-09-08,"Exposed",3.91497048415216,"0-17","Hispanic","North/Central"
1,2024-09-09,"Exposed",4.6354605807301,"0-17","Hispanic","North/Central"
1,2024-09-10,"Exposed",5.71835255976529,"0-17","Hispanic","North/Central"
1,2024-09-11,"Exposed",7.24084834327486,"0-17","Hispanic","North/Central"
1,2024-09-12,"Exposed",9.30796074342896,"0-17","Hispanic","North/Central"
1,2024-09-13,"Exposed",12.0636773179566,"0-17","Hispanic","North/Central"
1,2024-09-14,"Exposed",15.6276863227121,"0-17","Hispanic","North/Central"
1,2024-09-15,"Exposed",20.3498238352679,"0-17","Hispanic","North/Central"
1,2024-09-16,"Exposed",26.5254954173189,"0-17","Hispanic","North/Central"
1,2024-09-17,"Exposed",34.5592948562215,"0-17","Hispanic","North/Central"
1,2024-09-18,"Exposed",44.965908366009,"0-17","Hispanic","North/Central"
1,2024-09-19,"Exposed",58.2978239325205,"0-17","Hispanic","North/Central"
1,2024-09-20,"Exposed",75.223976341389,"0-17","Hispanic","North/Central"
1,2024-09-21,"Exposed",96.2122525786132,"0-17","Hispanic","North/Central"
1,2024-09-22,"Exposed",122.321612808543,"0-17","Hispanic","North/Central"
1,2024-09-23,"Exposed",154.141406925297,"0-17","Hispanic","North/Central"
1,2024-09-24,"Exposed",192.491031502785,"0-17","Hispanic","North/Central"
1,2024-09-25,"Exposed",237.866591839413,"0-17","Hispanic","North/Central"
1,2024-09-26,"Exposed",291.203944015559,"0-17","Hispanic","North/Central"
1,2024-09-27,"Exposed",349.954536154546,"0-17","Hispanic","North/Central"
1,2024-09-28,"Exposed",408.358972388605,"0-17","Hispanic","North/Central"
1,2024-09-29,"Exposed",469.847490275839,"0-17","Hispanic","North/Central"
1,2024-09-30,"Exposed",532.025264789847,"0-17","Hispanic","North/Central"
1,2024-10-01,"Exposed",588.955069772662,"0-17","Hispanic","North/Central"
1,2024-10-02,"Exposed",639.785453804683,"0-17","Hispanic","North/Central"
1,2024-10-03,"Exposed",685.968799807401,"0-17","Hispanic","North/Central"
1,2024-10-04,"Exposed",719.022869593158,"0-17","Hispanic","North/Central"
1,2024-10-05,"Exposed",741.636975156485,"0-17","Hispanic","North/Central"
1,2024-10-06,"Exposed",756.824809679253,"0-17","Hispanic","North/Central"
1,2024-10-07,"Exposed",762.86661866066,"0-17","Hispanic","North/Central"
1,2024-10-08,"Exposed",759.892851124687,"0-17","Hispanic","North/Central"
1,2024-10-09,"Exposed",750.676460733304,"0-17","Hispanic","North/Central"
1,2024-10-10,"Exposed",735.462823613698,"0-17","Hispanic","North/Central"
1,2024-10-11,"Exposed",716.217406784391,"0-17","Hispanic","North/Central"
1,2024-10-12,"Exposed",690.260633603528,"0-17","Hispanic","North/Central"
1,2024-10-13,"Exposed",665.191635389161,"0-17","Hispanic","North/Central"
1,2024-10-14,"Exposed",640.325650410552,"0-17","Hispanic","North/Central"
1,2024-10-15,"Exposed",615.546136513579,"0-17","Hispanic","North/Central"
1,2024-10-16,"Exposed",591.040556873902,"0-17","Hispanic","North/Central"
1,2024-10-17,"Exposed",567.636626294791,"0-17","Hispanic","North/Central"
1,2024-10-18,"Exposed",543.066384786783,"0-17","Hispanic","North/Central"
1,2024-10-19,"Exposed",517.027219063736,"0-17","Hispanic","North/Central"
1,2024-10-20,"Exposed",493.533140200239,"0-17","Hispanic","North/Central"
1,2024-10-21,"Exposed",471.937411557829,"0-17","Hispanic","North/Central"
1,2024-10-22,"Exposed",452.7639642653,"0-17","Hispanic","North/Central"
1,2024-10-23,"Exposed",434.47924444555,"0-17","Hispanic","North/Central"
1,2024-10-24,"Exposed",418.368012635172,"0-17","Hispanic","North/Central"
1,2024-10-25,"Exposed",402.993184192974,"0-17","Hispanic","North/Central"
1,2024-10-26,"Exposed",384.994256924031,"0-17","Hispanic","North/Central"
1,2024-10-27,"Exposed",370.115201948703,"0-17","Hispanic","North/Central"
1,2024-10-28,"Exposed",358.311717966221,"0-17","Hispanic","North/Central"
1,2024-10-29,"Exposed",346.567078057101,"0-17","Hispanic","North/Central"
1,2024-10-30,"Exposed",334.790882878202,"0-17","Hispanic","North/Central"
1,2024-10-31,"Exposed",323.95324408953,"0-17","Hispanic","North/Central"
1,2024-11-01,"Exposed",314.402802295467,"0-17","Hispanic","North/Central"
1,2024-11-02,"Exposed",302.663962705837,"0-17","Hispanic","North/Central"
1,2024-11-03,"Exposed",293.667934572251,"0-17","Hispanic","North/Central"
1,2024-11-04,"Exposed",287.306451856572,"0-17","Hispanic","North/Central"
1,2024-11-05,"Exposed",281.030641683755,"0-17","Hispanic","North/Central"
1,2024-11-06,"Exposed",274.645555633516,"0-17","Hispanic","North/Central"
1,2024-11-07,"Exposed",268.63030300387,"0-17","Hispanic","North/Central"
1,2024-11-08,"Exposed",263.604457214885,"0-17","Hispanic","North/Central"
1,2024-11-09,"Exposed",255.747628254187,"0-17","Hispanic","North/Central"
1,2024-11-10,"Exposed",250.918513202613,"0-17","Hispanic","North/Central"
1,2024-11-11,"Exposed",247.252161504699,"0-17","Hispanic","North/Central"
1,2024-11-12,"Exposed",243.70898367268,"0-17","Hispanic","North/Central"
1,2024-11-13,"Exposed",240.135891304395,"0-17","Hispanic","North/Central"
1,2024-11-14,"Exposed",236.777688049172,"0-17","Hispanic","North/Central"
1,2024-11-15,"Exposed",233.711784308574,"0-17","Hispanic","North/Central"
1,2024-11-16,"Exposed",228.833845403104,"0-17","Hispanic","North/Central"
1,2024-11-17,"Exposed",225.997424476952,"0-17","Hispanic","North/Central"
1,2024-11-18,"Exposed",224.579186302165,"0-17","Hispanic","North/Central"
1,2024-11-19,"Exposed",222.943074711983,"0-17","Hispanic","North/Central"
1,2024-11-20,"Exposed",220.785118691447,"0-17","Hispanic","North/Central"
1,2024-11-21,"Exposed",218.996018092624,"0-17","Hispanic","North/Central"
1,2024-11-22,"Exposed",217.890309891404,"0-17","Hispanic","North/Central"
1,2024-11-23,"Exposed",214.62601530123,"0-17","Hispanic","North/Central"
